date,county,city,pm25_ugm3,ozone_ppm,aqi,aqi_category,year,month
2020-01-03,San Bernardino,San Bernardino,38.5,0.042,145,Unhealthy for Sensitive Groups,2020,1
2020-01-05,Sacramento,Elk Grove,54.3,0.029,140,Unhealthy for Sensitive Groups,2020,1
2020-01-05,Shasta,Redding,52.1,0.042,111,Unhealthy for Sensitive Groups,2020,1
2020-01-06,Alameda,Oakland,8.6,0.023,49,Good,2020,1
2020-01-07,San Bernardino,San Bernardino,26.1,0.044,134,Unhealthy for Sensitive Groups,2020,1
2020-01-09,Kern,Ridgecrest,50.4,0.044,166,Unhealthy,2020,1
2020-01-10,Santa Clara,Sunnyvale,41.1,0.027,95,Moderate,2020,1
2020-01-11,Sonoma,Santa Rosa,19.9,0.042,78,Moderate,2020,1
2020-01-11,Sonoma,Santa Rosa,34.1,0.048,88,Moderate,2020,1
2020-01-12,Kern,Ridgecrest,23.5,0.045,109,Unhealthy for Sensitive Groups,2020,1
2020-01-13,Santa Clara,Sunnyvale,52.3,0.03,132,Unhealthy for Sensitive Groups,2020,1
2020-01-14,Sonoma,Petaluma,54.4,0.049,111,Unhealthy for Sensitive Groups,2020,1
2020-01-15,San Diego,San Diego,11.3,0.042,60,Moderate,2020,1
2020-01-16,Fresno,Fresno,54.6,0.036,171,Unhealthy,2020,1
2020-01-17,San Francisco,Daly City,25.3,0.03,86,Moderate,2020,1
2020-01-19,Shasta,Redding,22.0,0.041,84,Moderate,2020,1
2020-01-19,Sonoma,Santa Rosa,18.3,0.036,60,Moderate,2020,1
2020-01-20,Shasta,Redding,29.5,0.055,80,Moderate,2020,1
2020-01-20,Los Angeles,Pasadena,41.0,0.023,153,Unhealthy,2020,1
2020-01-20,San Francisco,San Francisco,48.0,0.043,112,Unhealthy for Sensitive Groups,2020,1
2020-01-22,Alameda,Fremont,39.1,0.05,127,Unhealthy for Sensitive Groups,2020,1
2020-01-22,Alameda,Fremont,39.6,0.049,89,Moderate,2020,1
2020-01-22,Santa Clara,San Jose,19.8,0.045,67,Moderate,2020,1
2020-01-24,Sacramento,Sacramento,38.2,0.025,117,Unhealthy for Sensitive Groups,2020,1
2020-01-25,San Bernardino,Ontario,21.6,0.048,121,Unhealthy for Sensitive Groups,2020,1
2020-01-25,Santa Clara,Sunnyvale,21.4,0.032,90,Moderate,2020,1
2020-01-26,Fresno,Clovis,41.1,0.044,162,Unhealthy,2020,1
2020-01-26,Kern,Ridgecrest,29.6,0.05,143,Unhealthy for Sensitive Groups,2020,1
2020-01-29,Sacramento,Elk Grove,41.3,0.024,93,Moderate,2020,1
2020-01-31,Alameda,Oakland,26.9,0.031,94,Moderate,2020,1
2020-02-02,Santa Clara,San Jose,49.3,0.023,103,Unhealthy for Sensitive Groups,2020,2
2020-02-02,Kern,Ridgecrest,51.0,0.025,141,Unhealthy for Sensitive Groups,2020,2
2020-02-03,Sonoma,Santa Rosa,20.3,0.053,97,Moderate,2020,2
2020-02-03,Sacramento,Sacramento,17.5,0.05,88,Moderate,2020,2
2020-02-03,Riverside,Palm Springs,9.7,0.022,46,Good,2020,2
2020-02-04,Santa Clara,San Jose,32.9,0.03,97,Moderate,2020,2
2020-02-04,Santa Clara,Sunnyvale,26.3,0.024,69,Moderate,2020,2
2020-02-06,Santa Clara,Santa Clara,8.3,0.024,52,Moderate,2020,2
2020-02-08,Shasta,Redding,20.0,0.049,95,Moderate,2020,2
2020-02-09,San Diego,Chula Vista,15.2,0.054,53,Moderate,2020,2
2020-02-10,Kern,Bakersfield,32.7,0.02,153,Unhealthy,2020,2
2020-02-10,Riverside,Palm Springs,48.4,0.04,114,Unhealthy for Sensitive Groups,2020,2
2020-02-12,Riverside,Palm Springs,15.6,0.045,83,Moderate,2020,2
2020-02-13,Monterey,Salinas,22.6,0.051,88,Moderate,2020,2
2020-02-14,Fresno,Fresno,33.8,0.032,145,Unhealthy for Sensitive Groups,2020,2
2020-02-16,Napa,Napa,35.1,0.031,95,Moderate,2020,2
2020-02-17,San Diego,San Diego,51.4,0.043,147,Unhealthy for Sensitive Groups,2020,2
2020-02-17,Napa,Napa,9.3,0.048,80,Moderate,2020,2
2020-02-17,Riverside,Riverside,35.6,0.055,113,Unhealthy for Sensitive Groups,2020,2
2020-02-18,San Bernardino,San Bernardino,35.6,0.033,155,Unhealthy,2020,2
2020-02-21,Monterey,Monterey,42.9,0.029,102,Unhealthy for Sensitive Groups,2020,2
2020-02-21,Kern,Ridgecrest,42.9,0.025,158,Unhealthy,2020,2
2020-02-22,Sonoma,Santa Rosa,36.3,0.05,101,Unhealthy for Sensitive Groups,2020,2
2020-02-22,San Francisco,San Francisco,28.6,0.042,109,Unhealthy for Sensitive Groups,2020,2
2020-02-23,San Diego,Chula Vista,25.0,0.04,96,Moderate,2020,2
2020-02-23,Fresno,Fresno,23.0,0.028,116,Unhealthy for Sensitive Groups,2020,2
2020-02-23,Los Angeles,Los Angeles,15.2,0.033,120,Unhealthy for Sensitive Groups,2020,2
2020-02-26,Monterey,Salinas,13.4,0.054,61,Moderate,2020,2
2020-02-27,Alameda,Oakland,23.0,0.023,85,Moderate,2020,2
2020-02-28,Sacramento,Sacramento,9.7,0.032,64,Moderate,2020,2
2020-02-28,Sacramento,Elk Grove,43.0,0.024,102,Unhealthy for Sensitive Groups,2020,2
2020-02-28,Sacramento,Elk Grove,30.4,0.039,97,Moderate,2020,2
2020-03-02,Santa Clara,San Jose,12.4,0.028,86,Moderate,2020,3
2020-03-02,Marin,San Rafael,14.9,0.025,67,Moderate,2020,3
